origin_id,dest_id,origin_roadway,origin_cross_street,origin_direction,dest_roadway,dest_cross_street,dest_direction,segment_length_kilometers,timestamp,travel_time,speed_kph,summary_samples,origin_region,dest_region,origin_OBJECTID,dest_OBJECTID
main-sandale_sandiford,ninthlines-main,main-st-stouffville,sandale/sandiford-rd,eastbound,main-st-stouffville,ninth-line,eastbound,1.15,2023-04-16_00:00:00,79,52,1,whitchurch-stouffville,whitchurch-stouffville,409,353
mulock-404nb,mulock-harrywalker,mulock-dr,404nb-offramp,westbound,mulock-dr,harry-walker-pkwy,westbound,0.65,2023-04-16_00:00:00,47,50,5,whitchurch-stouffville,newmarket,345,389
stouffville-mccowan,highway48-stouffville,stouffville-rd,mccowan-rd,eastbound,stouffville-rd,highway-48,eastbound,1.9,2023-04-16_00:00:00,104,66,3,whitchurch-stouffville,whitchurch-stouffville,108,282
stouffville-404nb,woodbine-stouffville,stouffville-rd,404nb-offramp,eastbound,stouffville-rd,woodbine-ave,eastbound,0.7,2023-04-16_00:00:00,37,68,6,richmond-hill,whitchurch-stouffville,266,153
woodbine-stouffville,stouffville-warden,stouffville-rd,woodbine-ave,eastbound,stouffville-rd,warden-ave,eastbound,1.9,2023-04-16_00:00:00,90,76,3,whitchurch-stouffville,whitchurch-stouffville,153,152
stouffville-warden,kennedy-stouffville,stouffville-rd,warden-ave,eastbound,stouffville-rd,kennedy-rd,eastbound,2.4,2023-04-16_00:00:00,104,83,1,whitchurch-stouffville,whitchurch-stouffville,152,109
kennedy-stouffville,stouffville-mccowan,stouffville-rd,kennedy-rd,eastbound,stouffville-rd,mccowan-rd,eastbound,2.2,2023-04-16_00:00:00,89,89,1,whitchurch-stouffville,whitchurch-stouffville,109,108
highway48-stouffville,stouffville-mccowan,stouffville-rd,highway-48,westbound,stouffville-rd,mccowan-rd,westbound,1.9,2023-04-16_00:00:00,110,62,2,whitchurch-stouffville,whitchurch-stouffville,282,108
woodbine-stouffville,stouffville-404nb,stouffville-rd,woodbine-ave,westbound,stouffville-rd,404nb-offramp,westbound,0.7,2023-04-16_00:00:00,43,59,3,whitchurch-stouffville,richmond-hill,153,266
stouffville-warden,woodbine-stouffville,stouffville-rd,warden-ave,westbound,stouffville-rd,woodbine-ave,westbound,1.9,2023-04-16_00:00:00,87,79,2,whitchurch-stouffville,whitchurch-stouffville,152,153
kennedy-stouffville,stouffville-warden,stouffville-rd,kennedy-rd,westbound,stouffville-rd,warden-ave,westbound,2.4,2023-04-16_00:00:00,98,88,1,whitchurch-stouffville,whitchurch-stouffville,109,152
stouffville-mccowan,kennedy-stouffville,stouffville-rd,mccowan-rd,westbound,stouffville-rd,kennedy-rd,westbound,2.2,2023-04-16_00:00:00,98,81,1,whitchurch-stouffville,whitchurch-stouffville,108,109
woodbine-19th,woodbine-stouffville,woodbine,19th-ave,northbound,woodbine,stouffville-w,northbound,2.2,2023-04-16_00:00:00,122,65,2,markham,whitchurch-stouffville,417,153
woodbine-bloomington,woodbine-aurora,woodbine,bloomington-rd,northbound,woodbine,aurora-rd,northbound,4.2,2023-04-16_00:00:00,218,69,1,whitchurch-stouffville,whitchurch-stouffville,138,34
woodbine-stouffville,woodbine-19th,woodbine,stouffville-w,southbound,woodbine,19th-ave,southbound,2.2,2023-04-16_00:00:00,89,89,1,whitchurch-stouffville,markham,153,417
aurora-ramforest,aurora-warden,aurora-rd,ram-forest-rd,eastbound,aurora-rd,warden-ave,eastbound,1.35,2023-04-16_00:19:56,66,74,1,whitchurch-stouffville,whitchurch-stouffville,406,33
woodbine-aurora,aurora-ramforest,aurora-rd,woodbine-ave,eastbound,aurora-rd,ram-forest-rd,eastbound,0.77,2023-04-16_00:19:56,35,79,1,whitchurch-stouffville,whitchurch-stouffville,34,406
woodbine-aurora,aurora-warden,aurora-rd,woodbine-ave,eastbound,aurora-rd,warden-ave,eastbound,2.1,2023-04-16_00:19:56,130,58,1,whitchurch-stouffville,whitchurch-stouffville,34,33
aurora-404nb,aurora-404sb,aurora-rd,404nb-offramp,westbound,aurora-rd,404sb-offramp,westbound,0.37,2023-04-16_00:19:56,32,42,2,whitchurch-stouffville,aurora,325,324
aurora-warden,aurora-ramforest,aurora-rd,warden-ave,westbound,aurora-rd,ram-forest-rd,westbound,1.35,2023-04-16_00:19:56,81,60,1,whitchurch-stouffville,whitchurch-stouffville,33,406
woodbine-bloomington,bloomington-404nb,bloomington-rd,woodbine-ave,westbound,bloomington-rd,404nb-offramp,westbound,0.35,2023-04-16_00:19:56,26,48,2,whitchurch-stouffville,whitchurch-stouffville,138,408
highway48-davis,highway48-herald,highway-48,davis-dr,northbound,highway-48,herald-rd,northbound,2.1,2023-04-16_00:19:56,114,66,2,whitchurch-stouffville,east-gwillimbury,271,292
highway48-stouffville,ninthlines-main,main-st-stouffville,highway-48,eastbound,main-st-stouffville,ninth-line,eastbound,2.0,2023-04-16_00:19:56,168,43,1,whitchurch-stouffville,whitchurch-stouffville,282,353
highway48-stouffville,main-sandale_sandiford,main-st-stouffville,highway-48,eastbound,main-st-stouffville,sandale/sandiford-rd,eastbound,0.86,2023-04-16_00:19:56,97,32,1,whitchurch-stouffville,whitchurch-stouffville,282,409
main-sandale_sandiford,ninthlines-main,main-st-stouffville,sandale/sandiford-rd,eastbound,main-st-stouffville,ninth-line,eastbound,1.15,2023-04-16_00:19:56,109,38,1,whitchurch-stouffville,whitchurch-stouffville,409,353
ninthlines-main,main-sandale_sandiford,main-st-stouffville,ninth-line,westbound,main-st-stouffville,sandale/sandiford-rd,westbound,1.15,2023-04-16_00:19:56,92,45,1,whitchurch-stouffville,whitchurch-stouffville,353,409
mccowan-19th,stouffville-mccowan,mccowan-rd,19th-ave,northbound,mccowan-rd,stouffville-rd,northbound,2.2,2023-04-16_00:19:56,98,81,2,markham,whitchurch-stouffville,425,108
mulock-404nb,mulock-harrywalker,mulock-dr,404nb-offramp,westbound,mulock-dr,harry-walker-pkwy,westbound,0.65,2023-04-16_00:19:56,47,50,4,whitchurch-stouffville,newmarket,345,389
